job_title,company,url
"Product Analytics Manager, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599840&searchId=b59972d9-6969-4f2f-b503-16a051718644
Onboarding Consultant,"Cloudflare, Pte. Ltd.",https://www.monster.com.sg/seeker/job-details?id=5601993&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Account Executive, Vietnam",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598327&searchId=b59972d9-6969-4f2f-b503-16a051718644
7104-Technical Sales Engineer / Product [ understanding our complete range product],The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602640&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Programme Lead,Standard Chartered Bank,https://www.monster.com.sg/seeker/job-details?id=5561094&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Migration Consultant,Infosys Limited Singapore Branch,https://www.monster.com.sg/seeker/job-details?id=5560955&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Data Engineer,Michael Page International Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5560874&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Solution Architect,Rackspace Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4596208&searchId=b59972d9-6969-4f2f-b503-16a051718644
Computer Vision Engineer,Good For Food Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4944575&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Technical Solutions Specialist, Hybrid Cloud, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560447&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Cyber Security Specialist (Cloud) – Contract,Persolkelly Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5576918&searchId=b59972d9-6969-4f2f-b503-16a051718644
"AVP, Public Cloud Developer, Technology %26 Operations",DBS Bank Ltd,https://www.monster.com.sg/seeker/cjt/job-vacancy-avp-public-cloud-developer-technology-26-operations-dbs-bank-ltd-singapore-5-7-years-29822921
Cloud Native Evangelist - (VMware Tanzu),Vmware,https://www.monster.com.sg/seeker/job-details?id=3923331&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600196&searchId=b59972d9-6969-4f2f-b503-16a051718644
Training and Development Manager / Government link Company,Recruitflash Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5605454&searchId=b59972d9-6969-4f2f-b503-16a051718644
